Fecha,Hora,Noroeste ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noroeste PM25,Noreste ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Noreste PM25,Centro ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Centro PM25,Suroeste ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Suroeste PM25,Sureste ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,Sureste PM25
01/01/2023,1,3,4,19,10,43,62,9,4,18,13,60,64,4,2,19,8,35,56,21,2,10,5,23,52,16,2,15,7,30,66
01/01/2023,2,2,4,17,11,45,64,6,4,17,15,74,74,3,4,17,9,41,58,21,2,8,5,25,54,12,2,14,9,34,69
01/01/2023,3,3,4,14,11,46,66,6,6,16,17,96,81,3,4,15,10,48,62,22,2,9,5,28,55,4,2,15,10,39,74
01/01/2023,4,2,4,13,12,48,69,4,6,15,19,105,87,3,4,14,11,54,67,19,2,9,5,30,57,6,2,14,10,44,86
01/01/2023,5,7,4,11,13,50,76,6,6,13,20,109,98,2,4,13,12,60,72,18,2,9,5,30,60,6,2,12,12,50,99
01/01/2023,6,3,4,11,14,55,81,6,6,12,21,113,106,2,4,13,13,67,77,16,2,8,5,31,63,9,2,13,14,57,111
01/01/2023,7,2,4,10,15,60,85,4,6,11,22,117,113,2,4,13,14,74,82,20,2,7,5,33,66,3,2,11,15,64,120
01/01/2023,8,3,4,10,15,65,91,4,6,11,21,120,118,2,4,16,14,81,89,19,2,7,5,34,67,6,2,11,17,73,128
01/01/2023,9,6,4,15,14,70,95,4,6,17,20,123,120,4,4,20,14,90,96,14,2,9,5,34,68,7,4,19,20,101,137
01/01/2023,10,14,4,29,14,74,100,21,6,20,18,125,125,16,4,27,14,99,103,24,2,15,5,34,69,19,4,28,21,101,147
01/01/2023,11,36,4,22,14,81,106,43,8,15,16,128,132,38,4,20,13,102,109,39,2,12,5,35,71,39,4,15,20,101,157
