Fecha,Hora,Noroeste ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noroeste PM25,Noreste ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Noreste PM25,Centro ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Centro PM25,Suroeste ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Suroeste PM25,Sureste ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,Sureste PM25
01/01/2022,1,4,8,24,15,114,82,15,6,24,13,117,93,9,6,21,11,81,88,26,4,26,7,58,72,18,4,19,10,102,95
01/01/2022,2,4,8,23,16,115,83,16,8,22,15,118,96,6,6,22,11,81,89,23,4,16,7,60,75,15,4,18,11,103,99
01/01/2022,3,3,8,22,18,118,85,7,8,19,16,122,97,6,6,22,11,83,91,25,4,21,8,67,79,14,4,20,13,103,99
01/01/2022,4,3,8,21,21,122,87,4,8,21,17,123,101,5,6,21,11,90,95,26,4,20,8,73,85,10,4,20,13,103,106
01/01/2022,5,7,8,20,22,127,91,4,8,19,20,126,105,3,6,20,11,96,98,31,4,17,9,77,90,9,4,20,13,104,111
01/01/2022,6,9,8,20,23,130,96,3,8,19,21,132,109,3,6,19,12,101,102,31,4,14,9,78,92,9,4,18,12,105,114
01/01/2022,7,5,8,17,23,134,101,3,8,19,23,135,115,2,6,20,12,103,105,24,4,10,9,80,94,7,4,17,14,106,122
01/01/2022,8,4,8,16,23,136,103,4,8,18,23,137,119,3,6,23,13,105,108,27,4,11,8,83,95,8,4,19,15,107,128
01/01/2022,9,8,8,18,23,137,105,9,8,21,23,140,120,6,6,32,13,106,111,31,4,15,8,83,95,8,4,19,16,107,133
01/01/2022,10,20,8,23,22,137,106,24,8,23,22,143,122,20,6,33,13,108,116,37,4,20,9,83,96,24,4,20,17,108,136
01/01/2022,11,36,8,27,20,137,107,46,8,14,21,144,127,41,6,28,13,111,121,49,4,16,9,81,99,41,4,20,17,110,140
01/01/2022,12,65,8,19,17,137,109,92,8,10,18,145,131,92,6,23,13,113,125,98,4,15,8,83,102,84,4,16,16,110,143
01/01/2022,13,90,8,17,15,135,112,105,8,7,15,144,131,110,6,15,12,114,128,118,4,14,8,84,104,92,4,11,15,111,145
01/01/2022,14,92,8,11,13,134,114,112,8,7,13,143,132,118,6,10,11,115,129,128,4,10,7,87,106,101,4,10,12,112,145
01/01/2022,15,63,8,7,11,132,116,92,8,5,11,143,133,125,6,9,10,115,131,132,4,9,7,88,108,115,4,10,10,113,144
01/01/2022,16,46,8,6,8,130,117,78,8,4,9,145,133,115,6,7,8,116,131,129,4,7,7,91,109,112,4,9,7,114,144
01/01/2022,17,39,8,6,6,130,118,63,8,5,7,147,132,82,6,6,6,116,131,106,4,6,6,91,110,80,4,8,5,115,145
01/01/2022,18,27,8,11,5,129,119,45,8,6,5,150,132,49,6,9,5,116,130,86,4,8,5,91,110,50,4,9,5,109,145
01/01/2022,19,15,8,18,5,128,121,19,8,20,4,150,131,31,6,25,5,115,130,67,4,15,5,90,110,39,4,20,5,109,145
01/01/2022,20,9,8,20,5,126,102,19,10,25,4,148,131,23,6,33,5,115,130,51,4,21,6,91,111,21,4,31,6,108,144
01/01/2022,21,11,8,25,5,126,102,14,10,22,5,148,133,21,8,39,8,116,130,36,4,20,6,91,111,6,4,24,8,108,146
01/01/2022,22,6,10,23,5,126,101,9,10,30,8,149,135,11,8,37,9,116,130,18,4,14,6,91,111,10,4,22,10,109,147
01/01/2022,23,7,8,21,6,126,99,1,10,38,11,149,137,2,8,34,11,117,132,14,4,16,6,90,110,3,4,28,13,110,148
01/01/2022,24,6,8,20,7,124,97,1,10,33,14,149,139,3,8,31,11,117,133,13,4,14,6,90,109,2,4,28,14,110,149
02/01/2022,1,4,8,16,8,122,96,1,10,28,16,148,138,2,8,27,13,117,134,14,4,13,6,87,106,9,4,24,16,110,149
02/01/2022,2,7,8,14,9,121,93,1,10,24,18,145,139,1,8,23,14,117,134,14,4,14,6,83,104,9,4,25,17,110,151
02/01/2022,3,7,8,14,10,118,90,1,10,22,19,139,136,1,8,21,15,116,134,14,4,14,5,74,102,6,4,18,17,110,151
02/01/2022,4,7,8,14,10,114,85,1,10,20,19,135,134,4,8,19,15,114,132,14,4,13,6,67,99,6,4,20,15,108,145
02/01/2022,5,6,8,12,10,110,83,1,10,15,18,131,131,2,8,17,15,113,131,12,4,11,6,61,96,5,4,19,16,107,141
02/01/2022,6,4,8,11,9,106,81,1,10,13,16,124,128,1,8,17,14,111,129,14,4,8,6,57,92,9,4,17,15,106,139
02/01/2022,7,5,8,10,9,103,79,1,10,11,15,120,123,1,8,20,13,110,126,12,4,9,5,57,88,2,4,17,15,104,133
02/01/2022,8,2,8,10,10,100,77,1,12,11,13,116,119,2,8,22,12,108,123,9,4,11,5,54,86,1,6,15,15,103,127
02/01/2022,9,4,8,15,10,93,75,5,12,14,11,112,114,2,8,19,12,106,120,18,4,14,6,52,84,5,6,18,14,101,123
02/01/2022,10,11,8,20,10,84,73,13,12,21,12,107,109,10,8,28,12,104,114,24,4,21,6,51,82,14,6,21,14,99,118
