Fecha,Hora,Noroeste ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noroeste PM25,Noreste ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Noreste PM25,Centro ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Centro PM25,Suroeste ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Suroeste PM25,Sureste ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,Sureste PM25
02/01/2022,11,22,8,20,9,78,69,23,12,25,12,103,104,21,8,31,12,102,109,31,4,16,6,48,80,25,6,19,14,90,113
02/01/2022,12,30,6,13,8,71,65,34,12,24,12,101,100,34,8,27,12,97,104,36,4,10,5,44,75,34,6,17,12,96,109
02/01/2022,13,36,8,7,7,67,60,39,12,9,11,101,97,40,8,15,12,91,102,41,4,8,5,40,72,40,6,15,10,96,105
02/01/2022,14,35,8,7,6,67,55,40,12,5,10,101,95,48,8,8,11,88,99,45,4,6,5,38,70,43,6,9,8,91,102
02/01/2022,15,35,8,4,5,67,54,34,12,4,8,102,93,47,8,5,9,87,96,53,4,5,5,35,67,41,6,7,6,90,100
02/01/2022,16,31,8,5,5,71,53,32,12,5,7,103,91,45,8,5,6,84,93,50,4,3,5,33,65,32,6,6,5,90,98
02/01/2022,17,28,8,7,3,86,53,28,12,5,5,107,90,36,8,7,5,83,92,43,4,4,4,31,63,29,6,7,4,91,97
02/01/2022,18,22,8,6,3,107,52,24,12,7,5,115,90,28,8,8,5,84,92,32,4,6,3,33,62,22,6,8,3,93,96
02/01/2022,19,18,6,7,2,116,52,18,12,8,3,120,90,19,8,9,4,87,91,26,4,7,3,40,62,25,6,10,2,97,96
02/01/2022,20,15,6,8,3,117,53,14,10,10,3,121,90,13,8,9,4,88,92,21,4,8,3,58,62,12,4,12,3,99,95
02/01/2022,21,11,6,10,3,117,53,12,8,12,3,119,90,11,8,12,3,90,91,19,4,8,4,61,63,8,4,14,3,101,92
02/01/2022,22,12,6,13,3,116,53,14,6,11,3,118,88,12,6,11,4,90,90,16,4,6,4,61,62,6,4,14,3,102,89
02/01/2022,23,9,6,13,3,115,53,16,6,9,3,116,85,14,6,10,3,84,86,14,4,8,4,61,62,9,4,11,3,101,86
02/01/2022,24,12,6,13,3,114,53,16,6,7,3,114,79,20,6,10,3,78,82,14,4,9,4,60,61,11,4,13,4,99,82
03/01/2022,1,-99,8,-99,3,114,52,-99,6,-99,3,114,74,-99,6,-99,3,74,79,-99,4,-99,4,61,60,-99,4,-99,4,96,80
03/01/2022,2,-99,8,-99,4,114,53,-99,6,-99,3,114,70,-99,6,-99,3,70,75,-99,4,-99,4,63,60,-99,4,-99,4,93,77
03/01/2022,3,-99,8,-99,-99,113,54,-99,6,-99,-99,113,67,-99,6,-99,-99,65,73,-99,4,-99,-99,64,60,-99,4,-99,-99,90,74
03/01/2022,4,17,8,9,-99,112,55,14,6,8,-99,113,64,12,6,8,-99,63,71,15,4,10,-99,65,60,11,4,10,-99,87,72
03/01/2022,5,16,10,10,-99,112,55,14,6,9,-99,112,62,9,6,10,-99,60,69,11,4,8,-99,65,59,10,4,11,-99,84,69
03/01/2022,6,14,10,11,-99,111,56,12,6,10,-99,112,62,5,6,13,-99,58,67,9,4,9,-99,68,59,9,4,13,-99,83,65
03/01/2022,7,7,12,14,-99,111,57,6,6,12,-99,111,61,1,6,13,-99,57,66,8,4,12,-99,70,60,4,4,14,-99,81,63
03/01/2022,8,2,12,15,-99,110,58,3,6,13,-99,110,59,1,6,15,-99,55,65,4,6,14,-99,73,60,6,4,15,-99,80,61
03/01/2022,9,4,12,14,3,110,60,4,6,13,4,109,57,1,6,15,3,55,64,6,6,13,3,74,60,10,4,14,4,78,60
03/01/2022,10,8,12,15,3,110,62,6,6,13,4,109,57,4,6,14,4,54,64,9,4,11,3,76,61,13,4,14,4,77,61
03/01/2022,11,9,12,17,4,110,63,11,4,10,5,110,57,10,6,14,4,54,63,16,4,10,3,78,61,18,4,14,4,76,60
03/01/2022,12,15,12,20,5,111,64,20,4,10,5,110,56,18,6,16,5,54,63,24,4,12,4,81,62,31,4,14,4,74,60
03/01/2022,13,24,12,25,5,112,66,32,4,11,5,111,55,31,6,18,5,55,63,35,4,14,4,86,63,44,4,19,5,74,61
03/01/2022,14,34,12,28,5,113,69,41,4,17,6,112,57,46,4,19,5,57,64,48,4,17,5,88,65,61,4,20,5,76,62
03/01/2022,15,41,12,21,6,114,72,53,4,16,6,113,59,57,4,18,6,60,66,73,4,16,5,91,68,94,2,15,5,78,65
03/01/2022,16,49,12,14,6,114,73,63,4,13,7,112,61,80,4,19,6,63,69,88,4,14,5,94,69,98,4,16,5,83,67
03/01/2022,17,45,12,16,6,112,75,53,4,10,7,108,62,80,6,17,6,65,72,80,4,16,5,96,71,96,4,15,5,86,68
03/01/2022,18,41,12,21,6,106,76,47,4,11,7,91,64,67,6,20,5,67,75,78,4,17,5,96,73,69,4,19,5,88,70
03/01/2022,19,28,14,23,6,96,76,32,4,17,8,73,64,34,6,32,6,67,77,45,4,25,5,88,75,43,4,27,5,87,71
03/01/2022,20,30,16,22,6,90,76,21,4,28,7,73,65,19,8,29,6,64,78,28,6,30,5,71,75,28,4,40,5,88,72
03/01/2022,21,29,20,20,5,91,77,16,4,25,7,80,66,20,12,23,6,64,79,24,8,27,5,70,77,28,4,29,6,87,74
03/01/2022,22,14,26,22,5,93,78,17,4,22,6,84,67,14,14,24,6,67,80,14,10,25,5,73,78,16,4,28,6,86,75
03/01/2022,23,6,32,22,5,96,80,14,4,27,6,90,69,9,22,25,6,68,81,19,14,22,6,74,80,8,4,30,6,88,76
03/01/2022,24,6,34,22,5,99,82,21,12,27,6,96,71,6,24,25,6,71,83,19,16,15,6,77,82,4,6,29,7,93,78
04/01/2022,1,14,36,24,5,100,83,20,18,24,7,96,73,4,26,25,6,74,85,20,18,11,5,78,83,4,6,29,7,99,79
04/01/2022,2,13,34,23,6,101,85,1,18,22,8,99,75,11,26,23,6,78,87,19,18,9,5,80,84,8,6,26,8,102,80
04/01/2022,3,13,34,19,6,102,85,4,20,19,7,101,77,3,26,23,6,81,89,23,18,12,5,81,85,4,8,25,8,103,83
04/01/2022,4,11,34,20,6,102,86,5,20,20,7,102,79,4,26,20,6,84,91,21,18,14,5,81,85,2,8,24,7,103,84
04/01/2022,5,12,32,19,6,102,87,2,20,18,7,103,80,1,26,19,6,87,92,16,18,12,5,83,85,4,8,23,8,105,87
04/01/2022,6,7,32,19,6,103,88,1,20,16,7,103,82,1,26,20,7,88,93,14,18,15,5,81,85,1,8,21,9,105,90
04/01/2022,7,2,32,21,7,103,87,1,22,15,8,105,84,1,26,20,7,90,93,9,20,19,5,83,85,1,8,22,10,106,92
04/01/2022,8,1,32,20,9,105,87,2,22,16,10,107,85,1,26,23,9,93,95,4,20,18,5,83,85,2,8,22,12,107,95
04/01/2022,9,2,32,21,11,106,87,3,22,18,14,108,86,2,28,30,10,96,97,21,20,19,5,83,85,11,8,26,15,109,97
04/01/2022,10,10,34,34,13,107,86,9,22,30,15,110,87,6,28,36,11,97,99,35,20,27,5,81,84,18,10,40,17,110,99
04/01/2022,11,22,34,43,14,109,87,22,24,35,16,111,90,16,30,43,12,100,101,36,20,28,5,80,86,29,10,49,20,110,102
04/01/2022,12,32,34,27,14,110,87,41,24,21,16,111,92,33,30,25,13,101,102,40,20,18,6,77,86,42,10,26,20,111,104
04/01/2022,13,44,34,19,14,109,86,61,24,20,17,111,92,44,30,18,12,101,102,48,20,20,6,76,86,53,10,20,19,111,104
04/01/2022,14,44,34,15,13,107,84,98,24,16,16,111,91,61,30,20,11,100,101,65,20,17,6,73,85,69,10,19,17,111,103
04/01/2022,15,51,34,14,12,106,82,112,24,12,15,110,90,80,30,20,10,99,100,80,20,14,7,70,84,63,12,10,15,110,103
04/01/2022,16,55,34,14,9,106,81,119,24,11,14,111,89,98,30,14,8,97,99,92,20,13,7,68,83,73,12,10,13,109,102
04/01/2022,17,46,34,14,6,105,79,113,24,10,11,111,89,92,30,13,7,94,97,98,20,11,6,65,82,82,12,9,8,108,102
04/01/2022,18,36,34,28,5,105,78,104,24,13,8,113,88,98,30,18,5,91,96,94,20,16,5,64,81,82,12,10,5,107,101
04/01/2022,19,16,34,31,5,104,76,49,26,29,7,112,87,32,30,40,5,90,95,44,20,30,5,61,79,49,12,14,4,108,100
04/01/2022,20,5,34,37,6,104,75,41,26,30,8,113,87,21,28,42,6,88,95,33,18,31,5,60,78,35,14,21,4,107,100
04/01/2022,21,3,36,37,8,105,75,31,26,30,9,114,89,15,28,42,7,90,95,42,16,32,5,60,77,29,6,23,5,107,99
04/01/2022,22,6,36,34,10,107,75,26,26,34,11,116,89,7,26,41,8,90,95,42,14,28,5,58,77,29,6,23,5,107,100
04/01/2022,23,12,34,30,11,108,74,18,26,38,14,117,89,16,22,40,9,90,95,38,14,28,6,57,76,25,6,23,5,107,100
04/01/2022,24,11,28,27,12,109,73,4,20,38,15,118,88,15,20,36,11,93,96,39,10,23,6,55,76,19,6,33,6,107,100
05/01/2022,1,15,20,21,13,110,73,10,14,33,14,119,89,11,18,31,13,93,96,37,10,17,6,54,75,15,6,30,7,106,101
05/01/2022,2,18,16,23,13,110,72,1,12,30,15,119,88,16,16,27,14,93,96,24,10,13,6,52,74,16,6,27,9,106,101
05/01/2022,3,18,16,17,12,110,73,1,12,25,17,119,89,4,16,26,14,93,95,27,10,15,6,52,73,11,6,24,10,106,102
05/01/2022,4,18,16,18,11,110,72,3,12,21,17,118,89,4,14,24,14,93,95,28,10,17,5,51,73,12,6,25,11,105,101
05/01/2022,5,14,16,21,9,109,71,9,12,19,17,118,89,1,14,24,13,94,95,23,10,14,5,51,72,14,6,22,12,106,102
05/01/2022,6,6,18,21,7,109,71,1,12,20,16,117,88,1,14,26,12,96,95,19,10,18,5,51,72,11,6,21,14,106,102
05/01/2022,7,2,18,21,7,108,70,1,12,19,17,117,87,1,14,24,12,96,95,11,10,23,4,50,72,11,6,21,15,106,101
05/01/2022,8,1,18,22,9,108,70,1,12,19,19,116,87,1,14,26,11,97,95,6,10,24,4,51,72,4,6,21,16,106,100
05/01/2022,9,1,18,29,12,109,70,4,12,24,22,116,87,3,12,33,10,97,95,16,10,22,5,51,72,9,6,30,19,105,99
05/01/2022,10,8,18,41,13,109,69,13,12,33,22,117,89,11,12,42,12,97,95,38,10,30,5,51,72,14,6,42,21,105,99
05/01/2022,11,21,16,53,14,109,69,21,10,40,21,117,88,24,12,34,12,97,95,41,10,21,5,51,71,31,6,40,22,105,98
05/01/2022,12,44,16,57,15,108,69,43,10,39,19,117,87,39,12,25,13,97,94,49,10,12,5,51,71,49,6,20,21,105,97
05/01/2022,13,44,16,32,14,108,70,51,10,20,19,118,88,48,12,12,12,97,94,50,10,6,5,52,70,82,6,7,20,105,97
05/01/2022,14,46,16,14,14,108,70,59,10,7,17,117,87,49,12,8,11,97,94,61,10,7,5,52,69,82,6,6,17,106,97
05/01/2022,15,50,18,13,12,108,69,94,10,10,15,117,86,67,12,10,9,94,92,84,10,7,5,52,68,82,6,7,15,106,95
05/01/2022,16,55,18,12,9,107,71,106,10,10,13,114,84,94,12,10,7,93,91,96,10,7,5,52,66,80,6,9,12,106,95
05/01/2022,17,59,16,15,7,107,72,105,8,9,9,113,83,106,12,12,5,93,90,103,10,8,4,54,66,73,6,8,7,106,93
05/01/2022,18,49,16,24,5,107,73,76,10,14,7,112,83,82,12,17,4,93,90,76,10,17,4,54,65,73,6,8,5,106,93
05/01/2022,19,22,16,41,5,107,74,44,10,21,6,112,83,41,12,27,4,91,90,45,10,22,3,54,65,55,6,9,4,107,92
05/01/2022,20,33,16,39,6,107,75,39,10,27,6,112,83,35,12,33,5,93,90,41,10,19,4,54,64,49,6,15,4,106,92
05/01/2022,21,17,16,39,8,110,75,29,10,34,6,111,81,35,12,35,6,91,89,39,10,32,4,52,64,36,6,16,4,106,92
05/01/2022,22,10,16,39,9,111,75,27,10,24,7,111,81,33,12,38,7,91,89,41,10,31,5,52,63,28,6,21,5,106,92
05/01/2022,23,14,14,37,10,111,75,30,10,30,9,111,81,19,10,38,7,90,88,40,8,30,6,52,63,33,6,18,5,106,91
05/01/2022,24,4,14,36,12,112,-99,26,10,35,12,109,81,16,10,37,8,90,87,36,8,28,7,52,64,31,6,24,6,105,91
06/01/2022,1,4,14,29,13,113,-99,29,6,36,14,111,80,15,10,33,10,88,87,33,6,22,8,52,64,15,6,26,6,105,90
06/01/2022,2,8,12,29,12,113,-99,4,6,35,15,113,79,6,10,29,11,88,87,33,6,21,9,52,64,10,6,30,6,105,90
06/01/2022,3,10,10,26,13,113,-99,6,6,31,15,114,78,9,10,26,11,88,87,33,6,19,9,52,64,15,6,30,9,104,90
06/01/2022,4,11,10,23,14,113,-99,4,6,28,16,116,78,2,10,27,11,87,87,34,6,15,9,51,64,16,6,27,11,104,91
06/01/2022,5,9,8,20,13,113,-99,2,6,23,15,117,78,2,10,29,11,86,87,31,6,15,9,51,64,9,6,23,13,105,91
06/01/2022,6,5,8,22,12,113,-99,3,6,23,15,117,79,2,10,31,12,86,88,26,6,17,8,51,64,12,4,25,15,105,91
06/01/2022,7,1,8,22,13,113,-99,1,6,23,15,118,79,1,10,30,12,86,89,20,6,17,8,50,64,6,4,23,17,106,92
06/01/2022,8,1,10,24,14,113,-99,1,6,23,15,118,79,1,10,34,13,86,89,19,6,18,8,50,64,4,4,22,21,106,92
06/01/2022,9,2,8,30,15,114,-99,3,6,27,15,119,80,3,10,39,14,86,90,25,6,20,8,50,65,9,4,27,21,106,92
06/01/2022,10,9,8,36,15,114,-99,14,6,35,15,119,80,11,10,52,14,87,90,35,6,26,8,50,64,16,4,34,21,105,91
06/01/2022,11,19,8,49,15,114,-99,28,6,40,15,120,81,26,10,40,13,87,91,39,4,28,9,50,64,35,4,28,20,105,90
06/01/2022,12,40,8,33,15,112,-99,45,6,28,15,120,80,44,8,22,13,87,92,47,4,13,9,50,64,46,4,14,18,104,89
06/01/2022,13,61,8,21,15,112,-99,84,6,11,15,121,80,76,8,14,12,87,92,65,4,8,8,49,64,63,4,9,15,104,89
06/01/2022,14,100,8,19,15,113,-99,105,6,10,15,121,81,100,8,11,12,90,93,90,4,6,7,49,64,51,4,7,14,103,89
06/01/2022,15,110,8,14,13,114,-99,100,6,9,13,119,82,90,8,10,10,91,94,90,4,7,6,49,65,49,4,8,10,104,89
06/01/2022,16,88,8,14,11,114,-99,90,6,10,11,121,82,55,8,12,8,94,95,82,4,8,5,49,65,48,4,5,7,104,90
06/01/2022,17,49,8,31,9,114,-99,48,6,14,10,121,82,46,8,13,6,97,97,59,4,10,5,49,66,49,4,8,5,104,90
06/01/2022,18,39,8,25,7,116,-99,44,6,16,9,122,82,46,8,14,5,97,96,49,4,12,4,50,66,51,4,10,5,104,90
06/01/2022,19,32,8,20,5,117,78,34,6,16,7,122,82,33,8,12,4,97,95,26,4,9,3,50,67,40,4,12,5,103,90
06/01/2022,20,23,8,23,5,116,77,24,6,9,6,123,82,23,8,15,4,97,95,22,4,5,3,50,67,30,4,11,5,103,90
06/01/2022,21,12,8,17,5,113,75,16,6,15,6,122,81,14,8,13,4,94,93,19,4,7,3,50,66,18,4,15,5,103,90
06/01/2022,22,3,8,19,5,111,74,14,6,20,6,119,80,6,8,20,5,90,90,14,4,11,3,48,65,11,2,17,5,103,88
06/01/2022,23,2,8,20,5,109,72,7,6,20,6,118,79,2,8,20,5,86,89,11,4,10,3,45,64,14,2,17,6,103,87
06/01/2022,24,1,8,20,6,108,72,9,6,21,7,118,77,1,8,16,6,83,87,11,4,13,4,44,62,24,4,13,5,103,88
07/01/2022,1,1,8,17,6,108,71,27,6,19,7,116,76,1,8,18,7,78,85,11,4,13,3,43,61,25,4,7,5,103,88
07/01/2022,2,3,8,16,6,106,70,11,6,19,7,114,76,4,8,20,7,77,83,14,4,14,3,41,60,23,4,9,5,103,86
07/01/2022,3,4,8,15,7,105,68,13,6,19,7,111,75,1,8,16,8,76,83,14,4,12,3,40,59,12,4,15,5,103,84
07/01/2022,4,4,8,13,8,104,67,4,6,14,7,108,75,1,8,14,8,73,82,21,4,9,3,40,59,17,4,15,4,102,82
07/01/2022,5,5,6,13,8,102,66,2,6,15,8,107,74,1,8,14,8,70,80,16,4,10,3,39,58,10,4,15,4,101,81
07/01/2022,6,2,6,15,7,102,66,1,6,16,8,106,73,1,8,16,8,67,78,11,4,13,3,39,58,7,4,13,5,99,80
07/01/2022,7,1,6,16,7,100,64,1,6,18,8,105,73,1,8,17,8,64,76,4,4,16,3,38,57,3,4,15,5,94,78
07/01/2022,8,1,6,16,7,96,64,1,6,15,8,104,72,1,8,18,9,63,75,7,4,17,3,38,56,5,4,17,6,93,77
07/01/2022,9,1,6,18,9,93,63,3,6,20,9,102,71,1,8,20,9,60,73,17,4,15,4,38,55,6,4,21,8,90,76
07/01/2022,10,5,6,27,10,91,62,8,6,28,10,97,70,6,8,31,10,57,71,15,4,20,5,38,55,14,4,33,10,90,74
07/01/2022,11,14,6,30,11,90,62,21,6,30,11,90,69,19,8,35,11,52,68,26,4,21,5,38,54,27,4,37,12,90,73
07/01/2022,12,25,6,28,11,87,61,38,6,24,12,81,68,31,8,35,11,52,68,35,4,22,5,38,53,37,4,30,13,90,73
07/01/2022,13,41,6,25,12,84,61,48,6,15,12,77,67,37,8,30,11,52,68,46,4,19,5,38,53,41,4,18,13,91,74
07/01/2022,14,49,6,16,12,81,62,46,6,10,11,78,68,41,8,18,11,54,70,47,4,19,6,39,53,40,4,13,13,90,74
07/01/2022,15,55,6,12,11,80,61,45,6,9,9,83,68,36,8,24,10,52,70,46,4,18,6,40,54,44,4,20,12,87,74
07/01/2022,16,48,6,18,10,80,60,49,6,15,8,80,67,29,8,22,9,52,70,37,4,14,6,41,54,38,4,23,10,87,75
07/01/2022,17,41,6,20,7,77,60,45,6,29,7,80,68,21,8,25,8,52,70,30,4,24,6,40,53,39,4,23,9,88,76
07/01/2022,18,23,6,20,6,71,60,23,6,30,7,81,68,7,8,28,8,54,71,22,4,20,5,39,53,41,4,16,8,88,77
07/01/2022,19,23,6,9,5,64,61,17,6,27,7,80,69,22,8,17,7,54,71,27,4,10,5,39,52,29,4,22,7,87,77
07/01/2022,20,17,6,14,5,67,60,16,6,15,6,74,69,19,8,13,7,51,71,20,4,6,5,39,52,21,4,19,7,87,77
07/01/2022,21,16,6,14,4,65,60,11,6,20,7,68,69,13,8,16,6,51,71,21,4,11,5,38,52,19,4,21,7,87,77
07/01/2022,22,8,6,18,4,65,60,6,6,21,9,70,69,1,8,18,6,51,71,18,4,16,5,38,52,6,4,19,8,86,77
07/01/2022,23,3,6,18,5,64,59,1,6,22,11,71,71,1,6,18,7,51,70,10,4,17,5,38,52,17,4,20,8,90,77
07/01/2022,24,1,4,19,5,63,60,1,6,22,13,73,72,1,6,19,8,51,70,15,4,16,5,39,52,6,4,21,9,90,77
08/01/2022,1,1,4,17,5,64,60,1,4,22,13,77,76,1,6,19,9,51,70,19,4,14,4,38,52,7,4,18,9,91,77
08/01/2022,2,4,4,15,5,64,60,1,4,21,14,84,85,1,6,17,9,51,70,26,4,12,4,38,53,16,4,19,9,91,78
08/01/2022,3,1,4,14,5,65,60,1,4,20,14,87,86,1,6,17,10,51,70,26,4,15,4,38,53,18,2,16,9,91,79
08/01/2022,4,2,4,18,5,64,60,1,4,18,14,88,86,1,6,19,11,52,71,24,4,14,5,38,53,19,2,12,8,93,80
08/01/2022,5,3,4,15,6,67,60,1,4,18,14,90,88,1,8,19,13,55,72,26,4,13,5,38,53,14,2,14,7,93,80
08/01/2022,6,2,4,14,6,67,60,1,4,20,15,93,89,1,8,19,14,57,73,25,4,14,5,38,53,7,2,14,7,93,79
08/01/2022,7,1,4,15,6,70,59,1,4,20,15,96,92,1,8,21,15,58,74,13,4,19,4,38,54,8,2,16,8,93,79
08/01/2022,8,1,4,17,7,73,59,1,4,18,15,99,95,1,8,20,15,60,74,11,2,18,4,38,54,10,2,17,8,91,79
08/01/2022,9,2,4,21,9,74,60,3,4,21,15,100,97,3,8,23,15,60,74,14,2,15,4,36,54,6,2,23,10,91,79
08/01/2022,10,6,4,26,10,77,59,9,4,26,15,101,98,9,8,43,15,60,74,26,2,20,5,36,54,21,2,31,11,90,80
08/01/2022,11,18,4,30,11,77,58,23,4,25,15,101,99,24,6,47,15,61,75,30,2,18,5,35,54,33,2,24,12,90,81
08/01/2022,12,27,4,23,12,78,58,39,4,16,15,101,98,38,6,33,15,61,77,41,2,13,5,35,55,42,2,16,12,91,80
08/01/2022,13,38,4,17,11,78,58,46,4,9,15,101,98,41,6,13,14,61,77,45,2,8,5,35,55,46,2,10,12,90,79
08/01/2022,14,46,4,13,11,78,58,49,4,7,12,101,97,48,6,10,12,60,75,50,2,8,5,33,54,59,2,7,11,88,79
08/01/2022,15,47,4,10,9,77,59,49,4,4,9,101,96,67,6,9,9,60,76,63,2,7,5,33,54,73,2,7,9,88,79
08/01/2022,16,49,4,11,8,77,59,61,4,6,6,100,95,65,6,12,7,60,76,71,2,10,5,33,53,71,2,6,8,90,79
08/01/2022,17,50,4,13,5,76,60,59,4,6,5,99,94,47,6,14,5,58,75,57,2,10,4,33,54,57,2,9,5,90,77
08/01/2022,18,45,4,16,5,74,60,43,4,12,5,96,93,29,6,22,5,57,74,33,2,4,3,33,54,35,2,11,3,88,76
08/01/2022,19,33,6,14,3,77,60,26,4,13,5,94,93,22,6,15,4,57,74,24,2,10,3,31,53,27,2,12,3,88,76
08/01/2022,20,33,6,14,3,78,61,26,4,16,5,93,93,23,6,18,3,57,74,25,2,15,3,30,53,15,2,20,4,88,76
08/01/2022,21,30,6,15,3,88,62,29,4,10,5,100,94,31,6,9,3,57,74,30,4,11,3,29,54,19,2,15,5,87,76
08/01/2022,22,26,6,12,2,90,62,28,4,8,5,99,95,31,6,7,3,60,75,31,4,8,3,31,54,30,2,9,5,90,77
08/01/2022,23,27,6,9,2,90,63,26,4,9,5,97,93,28,6,8,3,60,75,30,4,7,3,33,55,29,2,7,5,93,77
